Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
18.87358735,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.910269414,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.86595182,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.874759481,192.167.5.22,192.167.5.35,ICMP,60,,,0
22.077864804,142.251.32.14,192.167.5.35,TLSv1.2,127,443.0,49734.0,0
18.879984234,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.782762533,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.703566378,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.863098535,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.854924347,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.752396738,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.644422486,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
14.067888176,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.063213751,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.91223225,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.889713664,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.823512669,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.881285561,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.854283199,192.167.5.22,192.167.5.35,ICMP,60,,,0
2.269507927,VMware_8a:7e:e9,Broadcast,ARP,60,,,0
1.626631748,192.167.5.22,192.167.5.35,ICMP,98,,,0
8.959297295,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
8.836415046,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.882934594,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.720000799,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.863012907,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.798252161,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
32.277559328,192.167.9.41,192.167.255.255,BROWSER,239,138.0,138.0,0
18.737791829,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.632715928,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
13.888180948,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.682504414,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
1.584339837,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
18.853821873,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.7495263,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.851927239,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
34.487285632,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
11.916198368,142.251.32.14,192.167.5.35,TLSv1.2,93,443.0,49734.0,0
8.824219182,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.799459905,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
11.895801868,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
33.783123804,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.878619432,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.882431124,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.878884069,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.822942505,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.724607513,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.787576457,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.637752102,192.232.16.204,192.167.5.35,TLSv1.2,596,443.0,57912.0,0
18.87320304,192.167.5.22,192.167.5.35,ICMP,60,,,0
20.762424791,142.251.32.14,192.167.5.35,TLSv1.2,85,443.0,49734.0,0
3.628211445,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
22.771695515,142.251.32.14,192.167.5.35,TLSv1.2,93,443.0,49734.0,0
18.663744347,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
33.776164145,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.833177561,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
13.96460006,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.840193235,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
14.043360331,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.882882484,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.826966985,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
8.829270782,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
17.966043028,192.167.9.41,192.167.255.255,NBNS,92,137.0,137.0,0
33.804332651,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.70356393,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.82212559,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.839914104,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57914.0,0
8.924363579,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.065601908,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.931298371,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.834360159,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
23.888858379,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.632960424,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.863924695,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.356288532,VMware_8a:25:c0,Broadcast,ARP,60,,,0
11.916230477,192.167.5.35,142.251.32.14,TCP,54,49734.0,443.0,0
23.814141661,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
8.924367476,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.86283353,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
3.759637098,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.874973305,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.63556332,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.868345694,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.862293263,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.895552694,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
6.797482104,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
28.929082918,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.919665371,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.830733081,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.833222382,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.980173659,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.754939806,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.633342002,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.91744363,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.863160911,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.701300279,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.868479627,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.836397171,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57914.0,0
18.865293636,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.856534295,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.949966269,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.855083453,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.698030587,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.68970217,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.880300222,192.167.5.22,192.167.5.35,ICMP,60,,,0
27.292623856,VMware_8a:9d:21,Broadcast,ARP,60,,,0
18.878832154,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.898682954,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.808935674,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.810446309,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
11.895819517,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
14.052715669,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.079314196,192.167.5.35,142.251.32.14,TLSv1.2,849,49734.0,443.0,0
33.766429689,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.84818149,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.903624631,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.861206306,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.815683391,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.861483534,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.87996083,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.091277435,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.072543309,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
21.957406512,192.167.7.108,192.167.255.255,BROWSER,239,138.0,138.0,0
28.898684252,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
0.597280312,VMware_8a:31:5e,Broadcast,ARP,60,,,0
23.833172898,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.878710048,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.861551577,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.628286105,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57914.0,0
18.865471997,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.9453097,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.650458465,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.644155263,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.869271438,192.167.5.22,192.167.5.35,ICMP,60,,,0
27.208000607,142.251.32.14,192.167.5.35,TLSv1.2,127,443.0,49734.0,0
8.88687508,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
3.738571351,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.780254871,192.167.5.35,192.232.16.204,TLSv1.2,1682,57912.0,443.0,0
18.758909208,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.8823586,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.86521822,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.619973339,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
23.830716061,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878792651,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.886380865,192.167.5.22,192.167.5.35,ICMP,98,,,0
33.787578494,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.700376193,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.63295939,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
3.630896373,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.6375706,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.809199778,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
14.131289465,192.167.5.35,192.232.16.204,TLSv1.2,1682,57912.0,443.0,0
6.826085288,142.251.32.14,192.167.5.35,TLSv1.2,1466,443.0,49734.0,0
13.947186547,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.752669798,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.929053932,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.761956253,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.074884195,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.884344308,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.70273665,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.926680504,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.640487128,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
29.913936797,VMware_8a:7e:e9,Broadcast,ARP,60,,,0
28.886881193,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.633397679,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.034691342,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.900192889,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.665979266,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.634921939,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.847971778,VMware_8a:25:c0,Broadcast,ARP,60,,,0
13.839024217,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.694827677,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.851841344,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.679363499,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.828907711,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
33.735238665,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.137417678,192.167.5.35,142.251.32.14,TCP,54,49734.0,443.0,0
23.91741774,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.68018729,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.86897224,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.846591272,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.865000129,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.701249823,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.94768176,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.878874756,192.167.5.22,192.167.5.35,ICMP,60,,,0
7.773932117,192.167.5.35,192.167.5.22,ICMP,98,,,0
9.813210932,VMware_8a:31:5e,Broadcast,ARP,60,,,0
28.919553737,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.827917598,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
33.820643275,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.72725054,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.735444828,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.7761855,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.924380664,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.879403558,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.824259501,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
14.392651398,192.167.7.108,192.167.255.255,NBNS,92,137.0,137.0,0
33.691962636,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
22.734439549,192.167.5.35,142.251.32.14,TLSv1.2,2255,49734.0,443.0,0
18.721566534,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.712095475,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.861161343,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.959381214,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.873663272,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.895535054,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
8.936093432,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.708286266,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.021963075,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.712072489,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.967012688,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.886925712,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.870916045,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.802828716,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
33.770362123,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.862946553,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.865132586,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.871616191,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.882337531,192.167.5.22,192.167.5.35,ICMP,60,,,0
13.96460981,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.633676478,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.880851784,192.167.5.22,192.167.5.35,ICMP,60,,,0
33.747620574,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.751759503,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.984362163,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.896315981,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.666328839,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.663946174,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
22.040745716,192.167.5.35,142.251.32.14,TLSv1.2,1301,49734.0,443.0,0
18.69108219,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
28.866980095,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
12.256077394,VMware_8a:60:5f,Broadcast,ARP,60,,,0
28.924368524,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
34.500310968,142.251.32.14,192.167.5.35,TLSv1.2,130,443.0,49734.0,0
16.975037217,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
18.86699993,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.872578639,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.863619014,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.8916648,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.639119977,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
13.810560833,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.661224232,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
17.966035493,192.167.1.235,192.167.255.255,NBNS,92,137.0,137.0,0
33.689701305,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.819363082,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.827636383,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.84186673,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.880952412,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.622320012,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
33.6481374,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.844938301,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.968548825,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.677830283,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
11.135814037,192.167.5.247,192.167.255.255,NBNS,92,137.0,137.0,0
18.880586186,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.856932862,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.878712935,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.637566165,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.836114571,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.940042781,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.641709595,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.70270436,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.802662562,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
8.833147761,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.847013559,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
28.868331355,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.687230565,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.627079849,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.878851649,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.864944111,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.759633047,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.972082953,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.754931924,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
13.79163705,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.649867867,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.840224518,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.882810923,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.878568771,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.409591519,VMware_8a:7e:e9,Broadcast,ARP,60,,,0
18.633028552,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.997470672,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.961677249,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.824218336,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.679345998,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.005462868,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
10.846641688,192.167.5.22,192.167.5.35,ICMP,98,,,0
18.631189162,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.7144028,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.84276663,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.859295609,192.167.5.22,192.167.5.35,ICMP,60,,,0
11.916152953,142.251.32.14,192.167.5.35,TLSv1.2,127,443.0,49734.0,0
28.833163143,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.865969714,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
14.042308703,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.895370008,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.871753405,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.840241269,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.882905662,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.958048361,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
23.890875344,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.828432711,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.819296447,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
19.970218559,192.167.9.39,192.167.255.255,BROWSER,239,138.0,138.0,0
18.875051293,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.871811613,192.167.5.22,192.167.5.35,ICMP,60,,,0
15.779481241,VMware_8a:b2:34,Broadcast,ARP,60,,,0
33.74697373,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.070221939,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.828550949,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.840915376,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.65929748,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.952376812,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
3.635611533,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.881432144,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.809167218,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.883100129,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.132174966,192.167.9.105,192.167.255.255,BROWSER,239,138.0,138.0,0
14.070252754,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.854441857,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.872666719,192.167.5.22,192.167.5.35,ICMP,60,,,0
14.391540763,192.167.9.39,192.167.255.255,NBNS,92,137.0,137.0,0
3.73626149,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.973335672,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.939584359,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.838594904,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
3.687219312,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.833980742,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
23.846588947,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.878647428,192.167.5.22,192.167.5.35,ICMP,60,,,0
28.827642887,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.844941786,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.96700557,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.879282578,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.681706048,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.847228333,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.872506708,192.167.5.22,192.167.5.35,ICMP,60,,,0
